DateTime,Junction,Vehicles,Threshold,Severity,Alert
2017-01-31 15:00:00,1,87.0,59.0,SEVERE,High traffic detected
2017-01-31 15:00:00,2,20.0,17.0,HIGH,High traffic detected
2017-01-31 15:00:00,3,23.0,18.0,SEVERE,High traffic detected
2017-01-31 15:00:00,4,12.0,9.0,SEVERE,High traffic detected
2017-01-31 16:00:00,1,84.0,59.0,SEVERE,High traffic detected
2017-01-31 16:00:00,1,84.0,59.0,SEVERE,High traffic detected
2017-01-31 16:00:00,2,22.0,17.0,SEVERE,High traffic detected
2017-01-31 16:00:00,4,11.0,9.0,HIGH,High traffic detected
2017-01-31 16:00:00,4,11.0,9.0,HIGH,High traffic detected
2017-01-31 17:00:00,1,79.0,59.0,SEVERE,High traffic detected
2017-01-31 17:00:00,1,79.0,59.0,SEVERE,High traffic detected
2017-01-31 17:00:00,2,18.0,17.0,HIGH,High traffic detected
2017-01-31 17:00:00,4,12.0,9.0,SEVERE,High traffic detected
2017-01-31 17:00:00,4,12.0,9.0,SEVERE,High traffic detected
2017-01-31 18:00:00,1,85.0,59.0,SEVERE,High traffic detected
2017-01-31 18:00:00,2,18.0,17.0,HIGH,High traffic detected
2017-01-31 18:00:00,2,18.0,17.0,HIGH,High traffic detected
2017-01-31 19:00:00,1,89.0,59.0,SEVERE,High traffic detected
2017-01-31 20:00:00,1,92.0,59.0,SEVERE,High traffic detected
2017-01-31 20:00:00,2,29.0,17.0,SEVERE,High traffic detected
2017-01-31 21:00:00,1,89.0,59.0,SEVERE,High traffic detected
2017-01-31 21:00:00,1,89.0,59.0,SEVERE,High traffic detected
2017-01-31 21:00:00,2,24.0,17.0,SEVERE,High traffic detected
2017-01-31 22:00:00,1,84.0,59.0,SEVERE,High traffic detected
2017-01-31 22:00:00,2,23.0,17.0,SEVERE,High traffic detected
2017-01-31 23:00:00,1,75.0,59.0,SEVERE,High traffic detected
2017-01-31 23:00:00,2,20.0,17.0,HIGH,High traffic detected
2017-02-01,1,69.0,59.0,HIGH,High traffic detected
2017-02-01,1,69.0,59.0,HIGH,High traffic detected
2017-02-01,1,69.0,59.0,HIGH,High traffic detected
2017-02-01 01:00:00,1,60.0,59.0,HIGH,High traffic detected
2017-02-01 01:00:00,2,21.0,17.0,HIGH,High traffic detected
2017-02-01,1,69.0,59.0,HIGH,High traffic detected
2017-02-01 09:00:00,1,61.0,59.0,HIGH,High traffic detected
2017-02-01 10:00:00,1,71.0,59.0,HIGH,High traffic detected
2017-02-01 11:00:00,1,72.0,59.0,HIGH,High traffic detected
2017-02-01 11:00:00,2,19.0,17.0,HIGH,High traffic detected
2017-02-01 12:00:00,1,76.0,59.0,SEVERE,High traffic detected
2017-02-01 12:00:00,2,18.0,17.0,HIGH,High traffic detected
2017-02-01 12:00:00,4,12.0,9.0,SEVERE,High traffic detected
2017-02-01 13:00:00,1,69.0,59.0,HIGH,High traffic detected
2017-02-01 13:00:00,4,10.0,9.0,HIGH,High traffic detected
2017-02-01 14:00:00,1,77.0,59.0,SEVERE,High traffic detected
2017-02-01 14:00:00,4,13.0,9.0,SEVERE,High traffic detected
2017-02-01 15:00:00,1,76.0,59.0,SEVERE,High traffic detected
2017-02-01 15:00:00,2,18.0,17.0,HIGH,High traffic detected
2017-02-01 15:00:00,4,13.0,9.0,SEVERE,High traffic detected
2017-02-01 16:00:00,1,76.0,59.0,SEVERE,High traffic detected
2017-02-01 16:00:00,2,22.0,17.0,SEVERE,High traffic detected
2017-02-01 16:00:00,4,10.0,9.0,HIGH,High traffic detected
2017-02-01 17:00:00,1,76.0,59.0,SEVERE,High traffic detected
2017-02-01 17:00:00,2,20.0,17.0,HIGH,High traffic detected
2017-02-01 17:00:00,3,21.0,18.0,HIGH,High traffic detected
2017-02-01 17:00:00,4,13.0,9.0,SEVERE,High traffic detected
2017-02-01 18:00:00,1,78.0,59.0,SEVERE,High traffic detected
2017-02-01 18:00:00,2,20.0,17.0,HIGH,High traffic detected
2017-02-01 19:00:00,1,83.0,59.0,SEVERE,High traffic detected
2017-02-01 19:00:00,2,24.0,17.0,SEVERE,High traffic detected
2017-02-01 20:00:00,1,85.0,59.0,SEVERE,High traffic detected
2017-02-01 20:00:00,2,27.0,17.0,SEVERE,High traffic detected
